epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2116.17,0.92189,0.96715,1.47897,0.99505,1,0.995,0.73537,0.87677,0.52592,1.50154,0.0007724,0.0007724,0.0007724
95,2133.29,0.88327,0.8657,1.41562,0.99642,1,0.995,0.72256,1.01249,0.55864,1.66417,0.0007592,0.0007592,0.0007592
96,2149.9,0.92207,0.82918,1.41474,0.99631,1,0.995,0.71428,1.07251,0.56266,1.7478,0.000746,0.000746,0.000746
97,2166.88,0.90135,0.80686,1.37924,0.99444,1,0.995,0.7431,0.98103,0.4878,1.61699,0.0007328,0.0007328,0.0007328
98,2183.6,0.88622,0.83519,1.37496,0.99365,1,0.995,0.76274,0.86763,0.47395,1.49187,0.0007196,0.0007196,0.0007196
99,2200.84,0.85551,0.80045,1.43225,0.98814,1,0.995,0.77534,0.79031,0.51458,1.42774,0.0007064,0.0007064,0.0007064
100,2217.86,0.86099,0.8342,1.37267,0.98793,1,0.995,0.77945,0.7924,0.53421,1.4254,0.0006932,0.0006932,0.0006932
101,2234.73,0.84996,0.82555,1.41715,0.9795,1,0.995,0.7924,0.78506,0.56384,1.40826,0.00068,0.00068,0.00068
102,2251.81,0.82806,0.73601,1.38619,0.98838,1,0.995,0.71968,0.86645,0.55842,1.48165,0.0006668,0.0006668,0.0006668
103,2269.63,0.86384,0.80922,1.37536,0.98731,1,0.995,0.68171,1.03644,0.56054,1.63925,0.0006536,0.0006536,0.0006536
104,2286.66,0.88675,0.7808,1.40354,0.99222,1,0.995,0.68967,1.01594,0.54379,1.6096,0.0006404,0.0006404,0.0006404
105,2305.55,0.75974,0.75129,1.34047,1,0.99778,0.995,0.76483,0.77791,0.52347,1.36061,0.0006272,0.0006272,0.0006272
106,2329.19,0.80795,0.74845,1.31374,1,0.98829,0.995,0.78616,0.71346,0.51792,1.30838,0.000614,0.000614,0.000614
107,2352.68,0.82638,0.74509,1.38766,1,0.98716,0.995,0.78118,0.69064,0.49443,1.29,0.0006008,0.0006008,0.0006008
108,2376.58,0.82864,0.76523,1.33486,0.99253,1,0.995,0.74778,0.80862,0.47134,1.41286,0.0005876,0.0005876,0.0005876
109,2400.6,0.73505,0.66734,1.33846,0.99382,1,0.995,0.69669,0.93601,0.51528,1.53811,0.0005744,0.0005744,0.0005744
110,2424.33,0.80908,0.69769,1.31651,0.99419,1,0.995,0.69169,1.01338,0.54944,1.6215,0.0005612,0.0005612,0.0005612
111,2457.88,0.74567,0.66079,1.29478,0.99395,1,0.995,0.74851,0.88466,0.50331,1.49722,0.000548,0.000548,0.000548
112,2497.86,0.79861,0.74574,1.35812,0.99389,1,0.995,0.75755,0.81662,0.46254,1.43612,0.0005348,0.0005348,0.0005348
113,2538.52,0.75158,0.68738,1.2865,0.99459,1,0.995,0.8053,0.72486,0.44722,1.31119,0.0005216,0.0005216,0.0005216
114,2578.38,0.74714,0.71139,1.31894,0.99484,1,0.995,0.81959,0.70685,0.44284,1.28551,0.0005084,0.0005084,0.0005084
115,2618.84,0.82024,0.72666,1.33158,0.99475,1,0.995,0.82156,0.69813,0.4224,1.27785,0.0004952,0.0004952,0.0004952
116,2659.41,0.70903,0.66329,1.28375,0.99391,1,0.995,0.82371,0.7231,0.45077,1.30159,0.000482,0.000482,0.000482
